borough_id,nbhd,name,transaction_volume,property_count,average_sale_price
4,LA GUARDIA AIRPORT,Queens,2,2,480500
1,ALPHABET CITY,Manhattan,115,87,2939973.113
5,ANNADALE,Staten Island,117,112,639716.5641
5,ARDEN HEIGHTS,Staten Island,175,174,331342.8229
5,ARROCHAR,Staten Island,20,20,436429.35
5,SHORE ACRES,Staten Island,26,18,305832.6923
4,ARVERNE,Queens,145,136,406425.3103
4,ASTORIA,Queens,612,483,1427899.706
3,BATH BEACH,Brooklyn,211,182,737936.4929
2,BATHGATE, Bronx,44,40,832823.1364
3,BAY RIDGE,Brooklyn,695,451,641572.046
2,BAYCHESTER, Bronx,225,198,372385.6622
4,BAYSIDE,Queens,801,572,611403.0449
2,BEDFORD PARK, Bronx,166,129,1765328.801
2,NORWOOD, Bronx,166,129,1765328.801
3,BEDFORD STUYVESANT,Brooklyn,1243,1135,934985.4755
4,BEECHHURST,Queens,157,94,647711.9809
4,BELLE HARBOR,Queens,74,68,617942
4,BELLEROSE,Queens,135,135,563243.3852
2,BELMONT, Bronx,63,60,1036840.619
3,BENSONHURST,Brooklyn,311,292,876887.1994
3,BERGEN BEACH,Brooklyn,96,94,690614.0521
5,BLOOMFIELD,Staten Island,5,4,2106223.4
3,BOERUM HILL,Brooklyn,123,119,2570728.715
3,BOROUGH PARK,Brooklyn,609,597,956007.3563
4,BRIARWOOD,Queens,135,71,286336.3185
3,BRIGHTON BEACH,Brooklyn,219,164,946409.4521
4,BROAD CHANNEL,Queens,28,27,261723.7857
2,BRONX PARK, Bronx,6,6,3935444.5
2,BRONX-UNKNOWN, Bronx,2,2,655000
2,BRONXDALE, Bronx,179,158,429776.0782
3,BROOKLYN HEIGHTS,Brooklyn,313,188,1929753.316
3,BROOKLYN-UNKNOWN,Brooklyn,6,6,2216874.667
3,BROWNSVILLE,Brooklyn,140,131,1245637.593
5,BULLS HEAD,Staten Island,179,179,383891.2067
3,BUSH TERMINAL,Brooklyn,53,52,1454237.925
3,BUSHWICK,Brooklyn,614,581,978562.0342
4,CAMBRIA HEIGHTS,Queens,96,89,467276.8333
3,CANARSIE,Brooklyn,430,412,439002.2163
3,CARROLL GARDENS,Brooklyn,147,141,1785547.701
2,CASTLE HILL, Bronx,88,82,445095.3636
2,UNIONPORT, Bronx,88,82,445095.3636
5,CASTLETON CORNERS,Staten Island,104,98,439954.4231
1,CHELSEA,Manhattan,827,549,3855090.092
1,CHINATOWN,Manhattan,119,116,3198634.824
2,CITY ISLAND, Bronx,53,53,516111.8868
1,CIVIC CENTER,Manhattan,190,161,5069408.179
1,CLINTON,Manhattan,229,174,1964483.231
3,CLINTON HILL,Brooklyn,320,202,1146610.122
5,CLOVE LAKES,Staten Island,81,60,460229.7284
2,CO-OP CITY, Bronx,2,2,280000
3,COBBLE HILL,Brooklyn,72,59,1489963.889
3,COBBLE HILL-WEST,Brooklyn,81,79,1139374.457
4,COLLEGE POINT,Queens,246,240,723712.4756
5,CONCORD,Staten Island,58,52,279507.4483
5,CONCORD-FOX HILLS,Staten Island,33,33,269408.4242
3,CONEY ISLAND,Brooklyn,173,75,607744.185
4,CORONA,Queens,444,380,653988.6306
2,COUNTRY CLUB, Bronx,105,103,439865.2476
2,CROTONA PARK, Bronx,38,36,939539.6316
3,CROWN HEIGHTS,Brooklyn,662,608,1173899.988
3,CYPRESS HILLS,Brooklyn,228,204,412709.5307
5,DONGAN HILLS,Staten Island,64,60,427671.3906
5,DONGAN HILLS-COLONY,Staten Island,30,30,709861
5,DONGAN HILLS-OLD TOWN,Staten Island,5,5,1591000
4,DOUGLASTON,Queens,170,115,543513.1941
3,DOWNTOWN-FULTON FERRY,Brooklyn,113,110,1849599.186
3,DOWNTOWN-FULTON MALL,Brooklyn,117,98,2912177.205
3,DOWNTOWN-METROTECH,Brooklyn,122,73,1058810.402
3,DYKER HEIGHTS,Brooklyn,195,191,769248.9231
4,EAST ELMHURST,Queens,154,144,717061.7013
3,EAST NEW YORK,Brooklyn,696,639,393185.0216
2,EAST TREMONT, Bronx,96,88,1798669.083
1,EAST VILLAGE,Manhattan,243,200,2016838.058
4,ELMHURST,Queens,548,415,916163.7828
5,ELTINGVILLE,Staten Island,190,187,434817.0947
5,EMERSON HILL,Staten Island,11,11,836672.3636
4,FAR ROCKAWAY,Queens,226,214,794938.0177
1,FASHION,Manhattan,145,124,20201063.61
2,FIELDSTON, Bronx,31,22,816871.7097
1,FINANCIAL,Manhattan,525,485,7366796.411
3,FLATBUSH,Brooklyn,466,362,1071733.047
3,EAST FLATBUSH,Brooklyn,432,389,548051.7523
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,152,108,1188234.816
3,FLATBUSH-NORTH,Brooklyn,235,205,720863.0809
1,FLATIRON,Manhattan,358,254,4339360.061
3,FLATLANDS,Brooklyn,126,97,363140.2302
4,FLORAL PARK,Queens,128,103,443384.2266
4,FLUSHING MEADOW PARK,Queens,26,9,344486.1923
4,FLUSHING-NORTH,Queens,1982,1601,722421.717
4,FLUSHING-SOUTH,Queens,658,403,747172.3678
4,FLUSHING,Queens,,,
2,FORDHAM, Bronx,55,55,4128064.691
4,FOREST HILLS,Queens,922,327,484051.1106
3,FORT GREENE,Brooklyn,185,137,1195545.611
5,FRESH KILLS,Staten Island,1,1,3700000
4,FRESH MEADOWS,Queens,105,89,686243.1238
3,GERRITSEN BEACH,Brooklyn,82,80,369429.9268
4,GLEN OAKS,Queens,287,44,377035.8014
4,GLENDALE,Queens,261,209,472953.6475
3,GOWANUS,Brooklyn,113,109,2503559.973
1,GRAMERCY,Manhattan,575,268,2128930.616
5,GRANT CITY,Staten Island,111,97,381523.3153
5,GRASMERE,Staten Island,67,67,444194.4179
3,GRAVESEND,Brooklyn,447,417,803056.311
5,GREAT KILLS,Staten Island,392,381,420039.3265
5,GREAT KILLS-BAY TERRACE,Staten Island,35,32,430303.9429
3,GREENPOINT,Brooklyn,297,285,2042091.374
1,GREENWICH VILLAGE-CENTRAL,Manhattan,556,201,2682242.806
1,GREENWICH VILLAGE-WEST,Manhattan,496,311,3362686.546
1,GREENWICH VILLAGE,Manhattan,526,256,3022464.676
5,GRYMES HILL,Staten Island,44,35,350974.1136
4,HAMMELS,Queens,32,30,313318.1563
1,HARLEM,Manhattan,742,626,1654139.194
1,EAST HARLEM,Manhattan,158,135,4456202.513
1,HARLEM-UPPER,Manhattan,153,135,1665756.157
1,HARLEM-WEST,Manhattan,23,18,3490286.826
2,HIGHBRIDGE, Bronx,77,70,1287723.896
2,MORRIS HEIGHTS, Bronx,77,70,1287723.896
4,HILLCREST,Queens,78,56,487986.5513
4,HOLLIS,Queens,275,249,547031.8691
4,HOLLIS HILLS,Queens,50,39,652445
4,HOLLISWOOD,Queens,83,44,429994.4699
4,HOWARD BEACH,Queens,341,238,349673.085
5,HUGUENOT,Staten Island,78,78,614923.1538
2,HUNTS POINT, Bronx,67,63,2693212
1,INWOOD,Manhattan,144,65,1028364.375
4,JACKSON HEIGHTS,Queens,832,443,453804.2248
4,JAMAICA,Queens,199,145,1035687.241
4,JAMAICA BAY,Queens,13,13,281907.6923
4,JAMAICA ESTATES,Queens,81,76,972744.321
4,JAMAICA HILLS,Queens,44,39,506498.8636
